total_orders,total_returns,days_to_return_avg,high_value_returns,category_return_ratio,exchange_ratio,location,damaged_returns,device_fingerprint,seasonal_spikes,multi_device,label,user_id
8,0,15.0,0,0.079,0.0,Houston,0,Safari_Windows_9013,0,1,0,user_005424
18,8,29.9,4,0.676,0.415,Phoenix,4,Edge_macOS_6593,1,1,1,fraud_000408
8,2,11.0,0,0.379,0.499,Dallas,0,Edge_macOS_5501,1,1,0,user_007226
16,12,9.3,10,0.576,0.102,Jacksonville,7,Safari_Windows_3454,1,1,1,fraud_000136
15,1,10.5,0,0.134,0.339,Fort Worth,0,Chrome_Android_7818,0,1,0,user_008288
14,2,3.3,0,0.139,0.734,San Diego,0,Chrome_iOS_5998,0,0,0,user_006964
12,3,9.3,0,0.267,0.127,San Jose,0,Edge_Android_1746,1,0,0,user_005728
14,1,5.4,0,0.072,0.932,Chicago,0,Firefox_iOS_9084,1,1,0,user_006777
22,9,28.5,5,0.709,0.499,San Jose,5,Firefox_Android_2584,1,0,1,fraud_000122
11,0,7.7,0,0.471,0.0,Los Angeles,0,Firefox_Windows_7975,1,1,0,user_005893
10,2,13.5,0,0.151,0.919,San Antonio,0,Chrome_Windows_6900,0,0,0,user_008273
9,1,18.7,0,0.087,0.751,San Antonio,0,Firefox_Windows_4811,1,0,0,user_002270
9,0,13.8,0,0.201,0.0,Charlotte,0,Chrome_iOS_9897,0,1,0,user_000626
9,1,12.2,0,0.058,0.836,Charlotte,0,Safari_Android_3528,0,1,0,user_006086
7,2,13.9,0,0.07,0.535,Los Angeles,0,Firefox_macOS_2785,1,0,0,user_000808
5,0,18.0,0,0.238,0.0,Dallas,0,Safari_Windows_4400,0,0,0,user_003256
9,1,13.4,0,0.225,0.26,Houston,0,Edge_Windows_3174,1,0,0,user_000742
8,1,14.0,0,0.044,0.665,Austin,0,Edge_macOS_5765,0,1,0,user_007502
32,10,4.5,2,0.261,0.765,Los Angeles,2,Edge_Android_8358,1,1,0,edge_000252
8,1,13.0,0,0.136,0.455,Columbus,0,Firefox_Android_8997,0,0,0,user_001007
9,2,16.7,0,0.262,0.53,Dallas,0,Edge_iOS_3384,0,0,0,user_008090
8,0,13.5,0,0.163,0.0,Phoenix,0,Chrome_Windows_5390,0,1,0,user_006646
10,1,9.3,0,0.302,0.933,Philadelphia,0,Edge_Android_2284,1,1,0,user_001230
9,2,14.9,0,0.336,0.48,Los Angeles,0,Chrome_Android_7602,0,1,0,user_008098
11,2,10.0,0,0.21,0.461,Dallas,0,Safari_Windows_4436,0,1,0,user_006336
8,3,7.7,0,0.238,0.131,Austin,0,Edge_iOS_1190,0,0,0,user_002391
8,0,15.2,0,0.433,0.0,Jacksonville,0,Chrome_Android_7671,0,1,0,user_008047
7,0,14.8,0,0.22,0.0,Columbus,0,Safari_iOS_1251,0,1,0,user_000593
8,1,11.1,0,0.06,0.861,Fort Worth,0,Firefox_iOS_3608,0,1,0,user_000097
10,1,17.5,0,0.156,0.789,Houston,0,Safari_iOS_7965,0,0,0,user_003069
32,8,12.6,0,0.347,0.874,Fort Worth,0,Safari_macOS_3585,0,0,0,edge_000681
9,0,7.6,0,0.136,0.0,San Jose,0,Edge_Windows_7534,1,1,0,user_001926
32,10,10.1,3,0.12,0.6,Chicago,0,Firefox_Android_6092,0,1,0,edge_000667
9,0,18.4,0,0.178,0.0,Houston,0,Edge_macOS_7561,0,1,0,user_005505
25,10,20.6,1,0.334,0.836,Los Angeles,0,Safari_Windows_5599,1,1,0,edge_000658
14,2,11.9,0,0.262,0.227,Columbus,0,Chrome_Windows_1249,0,1,0,user_004968
7,2,16.9,0,0.245,0.378,Los Angeles,0,Edge_iOS_8910,1,0,0,user_006941
6,2,10.0,0,0.086,0.912,Los Angeles,0,Chrome_Windows_1864,0,0,0,user_003652
6,2,14.7,0,0.12,0.643,Houston,0,Firefox_Windows_1530,0,1,0,user_007825
9,2,12.2,0,0.096,0.651,Austin,0,Edge_macOS_5342,0,1,0,user_000041
10,5,15.1,0,0.216,0.69,Los Angeles,0,Edge_macOS_4987,0,1,0,user_002349
10,0,15.2,0,0.442,0.0,New York,0,Firefox_macOS_2138,0,1,0,user_002212
10,0,17.6,0,0.242,0.0,Fort Worth,0,Edge_Android_2035,0,1,0,user_004724
12,1,16.9,0,0.216,0.208,Charlotte,0,Safari_Android_4263,0,1,0,user_003932
7,1,16.4,0,0.205,0.473,Houston,0,Chrome_Android_1403,0,1,0,user_002851
11,4,3.4,0,0.14,0.591,Philadelphia,0,Edge_iOS_2799,0,0,0,user_006769
7,1,8.1,0,0.317,0.765,San Jose,0,Chrome_iOS_8170,1,1,0,user_001090
6,1,11.3,0,0.36,0.934,Fort Worth,0,Edge_Android_6767,0,0,0,user_003265
9,3,9.7,0,0.249,0.887,Houston,0,Edge_Android_9071,1,0,0,user_007476
4,0,11.4,0,0.412,0.0,Houston,0,Edge_Windows_9741,0,1,0,user_002058
9,2,12.0,0,0.137,0.567,Chicago,0,Firefox_Windows_3859,0,0,0,user_007199
32,14,24.5,2,0.264,0.93,Dallas,1,Edge_macOS_6055,1,1,0,edge_000624
10,0,9.4,0,0.152,0.0,San Jose,0,Firefox_iOS_6019,0,1,0,user_003919
8,0,8.5,0,0.386,0.0,Houston,0,Edge_Windows_8045,0,1,0,user_004101
10,0,5.8,0,0.046,0.0,Los Angeles,0,Chrome_iOS_9898,1,1,0,user_000710
9,1,14.0,0,0.152,0.209,San Antonio,0,Edge_iOS_8411,0,1,0,user_002046
9,0,14.9,0,0.46,0.0,Fort Worth,0,Safari_macOS_6914,0,0,0,user_008196
8,0,9.6,0,0.198,0.0,Columbus,0,Edge_Windows_8846,0,0,0,user_005201
18,11,2.3,6,0.448,0.046,Charlotte,3,Chrome_macOS_1500,1,1,1,fraud_000767
10,1,13.4,0,0.184,0.713,San Jose,0,Edge_iOS_8052,0,0,0,user_000671
35,10,24.9,1,0.257,0.459,Fort Worth,1,Firefox_Windows_6015,1,0,0,edge_000163
9,1,9.1,0,0.457,0.834,San Diego,0,Firefox_iOS_7786,0,0,0,user_000724
4,0,10.9,0,0.207,0.0,San Diego,0,Chrome_iOS_3276,1,1,0,user_002201
21,11,28.9,4,0.766,0.048,Jacksonville,3,Chrome_Android_9384,1,1,1,fraud_000290
12,3,10.2,0,0.385,0.853,Chicago,0,Chrome_iOS_7211,0,0,0,user_000148
10,1,12.2,0,0.111,0.462,Dallas,0,Edge_Windows_7010,0,1,0,user_004334
14,0,12.9,0,0.23,0.0,Philadelphia,0,Edge_macOS_5190,1,0,0,user_006137
15,3,11.8,0,0.599,0.562,Chicago,0,Safari_Android_4192,1,0,0,user_005095
8,0,6.6,0,0.124,0.0,San Diego,0,Safari_macOS_3365,0,1,0,user_003629
23,9,3.9,3,0.892,0.111,Houston,5,Safari_Android_4105,1,1,1,fraud_000764
10,4,8.8,0,0.174,0.657,Austin,0,Edge_Android_1044,0,1,0,user_006144
12,1,12.0,0,0.156,0.9,Dallas,0,Firefox_iOS_8356,1,1,0,user_008298
8,1,15.1,0,0.27,0.318,Charlotte,0,Chrome_Android_5152,0,0,0,user_005014
17,3,5.8,0,0.36,0.864,New York,0,Edge_macOS_4059,1,1,0,user_004762
5,1,10.9,0,0.413,0.725,Fort Worth,0,Chrome_Windows_8559,0,1,0,user_004457
11,3,6.7,0,0.349,0.287,Houston,0,Firefox_Windows_4626,0,1,0,user_007761
7,0,10.9,0,0.183,0.0,Fort Worth,0,Firefox_iOS_9540,0,0,0,user_000132
6,0,10.9,0,0.397,0.0,San Diego,0,Firefox_Android_8698,1,0,0,user_005957
36,14,15.3,4,0.161,0.525,Phoenix,0,Edge_macOS_9212,0,0,0,edge_000323
7,1,3.1,0,0.388,0.714,San Diego,0,Chrome_iOS_9669,0,1,0,user_005481
12,2,13.1,0,0.152,0.438,New York,0,Chrome_Windows_5916,1,1,0,user_006655
9,1,9.0,0,0.319,0.548,Dallas,0,Safari_Windows_9140,0,1,0,user_005660
4,1,19.9,0,0.227,0.598,Philadelphia,0,Firefox_Windows_4514,0,0,0,user_004944
8,1,7.6,0,0.465,0.741,Columbus,0,Safari_Windows_4700,0,1,0,user_004299
9,0,4.1,0,0.046,0.0,San Diego,0,Chrome_Android_8220,0,0,0,user_007632
10,0,13.7,0,0.429,0.0,Houston,0,Firefox_macOS_1359,0,1,0,user_000975
10,4,9.6,0,0.336,0.845,Phoenix,0,Safari_iOS_4614,1,1,0,user_006760
10,1,12.2,0,0.127,0.42,Los Angeles,0,Chrome_macOS_4565,0,0,0,user_005485
10,1,17.0,0,0.405,0.83,Phoenix,0,Firefox_Android_4240,1,1,0,user_003648
9,5,21.2,0,0.26,0.628,Philadelphia,0,Safari_Windows_3430,0,0,0,user_001694
17,9,3.1,5,0.719,0.108,Philadelphia,2,Firefox_iOS_3603,0,0,1,fraud_000785
33,11,12.7,3,0.144,0.661,Philadelphia,1,Chrome_macOS_3794,0,1,0,edge_000678
13,4,18.4,0,0.244,0.628,Phoenix,0,Chrome_Windows_7103,0,0,0,user_004768
9,1,12.5,0,0.203,0.459,Fort Worth,0,Chrome_Android_5085,1,0,0,user_007251
27,7,7.6,0,0.042,0.624,Dallas,2,Safari_iOS_6154,0,1,0,edge_000147
39,14,5.9,1,0.334,0.826,Charlotte,0,Safari_Android_3810,1,1,0,edge_000364
17,6,28.3,4,0.868,0.214,Fort Worth,2,Safari_Windows_6148,0,1,1,fraud_000391
11,3,11.3,0,0.217,0.361,Charlotte,0,Chrome_iOS_8126,0,1,0,user_008267
10,5,19.9,0,0.128,0.559,New York,0,Chrome_macOS_4716,1,1,0,user_006411
10,1,14.8,0,0.073,0.367,New York,0,Chrome_Windows_4847,0,1,0,user_003813
9,1,11.1,0,0.128,0.284,Jacksonville,0,Chrome_Windows_2870,0,1,0,user_001418
13,1,10.7,0,0.218,0.534,Jacksonville,0,Chrome_Windows_1201,0,0,0,user_000783
8,2,24.9,0,0.199,0.573,Houston,0,Edge_iOS_5179,0,0,0,user_004963
37,13,13.5,1,0.168,0.445,Philadelphia,0,Chrome_Windows_3582,0,0,0,edge_000551
12,0,17.0,0,0.373,0.0,Phoenix,0,Firefox_iOS_4733,1,1,0,user_004914
9,1,16.6,0,0.183,0.388,San Antonio,0,Firefox_iOS_1555,0,0,0,user_006576
8,2,15.6,0,0.159,0.697,Columbus,0,Edge_iOS_3742,0,1,0,user_002081
7,1,6.9,0,0.551,0.261,Austin,0,Safari_Windows_3924,0,1,0,user_001195
12,0,20.5,0,0.269,0.0,Columbus,0,Safari_macOS_6039,0,0,0,user_005700
8,2,10.1,0,0.2,0.801,Columbus,0,Firefox_iOS_3077,0,1,0,user_007205
17,11,2.1,6,0.788,0.485,Los Angeles,6,Chrome_macOS_4118,1,0,1,fraud_000626
11,2,18.6,0,0.531,0.795,Houston,0,Firefox_Windows_4492,0,0,0,user_008280
7,1,13.0,0,0.469,0.685,Charlotte,0,Safari_Windows_1359,0,1,0,user_000850
9,2,11.3,0,0.256,0.562,Chicago,0,Edge_Windows_5731,0,1,0,user_001561
10,2,14.2,0,0.252,0.776,Houston,0,Safari_Windows_6040,1,1,0,user_007188
9,2,12.8,0,0.198,0.383,Philadelphia,0,Safari_Windows_2850,1,0,0,user_006026
14,2,7.3,0,0.279,0.589,Philadelphia,0,Chrome_macOS_7655,0,0,0,user_004375
8,3,14.4,0,0.153,0.825,San Antonio,0,Edge_Windows_1662,0,0,0,user_001936
19,7,19.8,4,0.515,0.263,Philadelphia,0,Safari_Android_9109,1,1,1,fraud_000707
13,0,15.4,0,0.16,0.0,Houston,0,Safari_Windows_1241,1,0,0,user_005947
11,0,15.0,0,0.667,0.0,San Antonio,0,Edge_Android_7721,1,0,0,user_002835
11,1,8.5,0,0.444,0.511,Chicago,0,Safari_macOS_7044,1,0,0,user_006693
40,10,7.6,2,0.288,0.775,Austin,0,Chrome_iOS_8937,1,1,0,edge_000082
5,0,9.3,0,0.273,0.0,Dallas,0,Chrome_Windows_3548,0,1,0,user_004113
7,1,15.2,0,0.305,0.899,Fort Worth,0,Safari_macOS_2645,0,1,0,user_004595
9,1,10.6,0,0.153,0.286,Los Angeles,0,Chrome_macOS_8579,1,1,0,user_006819
28,6,11.2,2,0.267,0.569,Philadelphia,0,Chrome_macOS_5582,1,1,0,edge_000236
23,7,15.0,0,0.138,0.486,Houston,0,Firefox_Windows_4889,0,0,0,user_006025
13,0,12.4,0,0.366,0.0,Phoenix,0,Safari_Windows_7078,0,1,0,user_006843
10,1,14.2,0,0.355,0.754,Austin,0,Firefox_Android_6410,1,1,0,user_001137
4,1,16.2,0,0.279,0.511,Phoenix,0,Chrome_macOS_4002,1,1,0,user_001739
12,1,8.6,0,0.634,0.557,Dallas,0,Edge_Windows_5576,1,1,0,user_003447
10,0,6.6,0,0.085,0.0,Dallas,0,Safari_Android_5875,0,0,0,user_004287
8,2,16.7,0,0.311,0.94,Dallas,0,Edge_macOS_6272,1,1,0,user_000786
10,3,9.3,1,0.289,0.536,Dallas,0,Firefox_macOS_5216,0,1,0,user_007210
19,10,19.1,5,0.704,0.18,Chicago,3,Firefox_macOS_4981,1,1,1,fraud_000547
8,0,10.1,0,0.166,0.0,Jacksonville,0,Safari_Android_4321,1,0,0,user_003820
9,1,19.3,0,0.2,0.93,Los Angeles,0,Safari_Windows_7468,1,0,0,user_004596
8,3,3.7,0,0.524,0.503,New York,0,Edge_Windows_1864,0,1,0,user_006501
6,1,9.4,0,0.288,0.818,Houston,0,Firefox_Android_3042,0,0,0,user_003403
10,4,11.0,0,0.407,0.355,Phoenix,0,Edge_Android_9270,1,1,0,user_001794
15,1,11.6,0,0.385,0.507,Charlotte,0,Edge_iOS_5375,1,1,0,user_005081
7,0,21.0,0,0.279,0.0,Philadelphia,0,Chrome_Android_6446,0,0,0,user_004718
18,8,27.1,4,0.88,0.083,Charlotte,2,Firefox_macOS_8649,0,0,1,fraud_000563
11,3,15.7,0,0.478,0.525,San Antonio,0,Chrome_Android_7843,1,1,0,user_004368
10,1,13.3,0,0.335,0.779,Phoenix,0,Safari_Android_6908,0,0,0,user_002000
6,1,10.0,0,0.372,0.754,Austin,0,Safari_Android_5504,0,1,0,user_005913
8,0,13.4,0,0.101,0.0,Dallas,0,Safari_macOS_5884,0,1,0,user_004449
13,4,4.6,0,0.432,0.695,Austin,0,Edge_Windows_3035,0,0,0,user_000734
7,2,11.7,0,0.632,0.466,Fort Worth,0,Safari_Android_5458,0,1,0,user_007471
26,9,11.0,0,0.188,0.763,Los Angeles,0,Edge_Windows_9623,1,1,0,edge_000036
7,1,11.1,0,0.104,0.921,New York,0,Chrome_Windows_3016,1,1,0,user_007482
20,13,28.6,8,0.678,0.3,Charlotte,6,Safari_Android_8953,1,0,1,fraud_000456
8,1,15.2,0,0.164,0.767,Jacksonville,0,Chrome_Android_7223,0,0,0,user_003862
3,0,4.9,0,0.027,0.0,Dallas,0,Chrome_macOS_9847,0,0,0,user_006388
6,1,9.4,0,0.168,0.413,San Antonio,0,Firefox_Android_4070,0,1,0,user_001463
4,0,12.2,0,0.159,0.0,San Diego,0,Edge_iOS_2962,0,0,0,user_004134
39,11,4.8,0,0.054,0.761,San Diego,0,Chrome_Android_3348,1,0,0,edge_000176
13,2,8.6,0,0.466,0.393,Jacksonville,0,Firefox_Android_1629,0,1,0,user_004087
8,1,11.3,0,0.533,0.689,Charlotte,0,Safari_iOS_9413,0,1,0,user_003917
10,0,12.1,0,0.18,0.0,Houston,0,Firefox_Windows_2631,0,1,0,user_001788
7,2,12.1,0,0.389,0.475,Chicago,0,Chrome_iOS_9774,1,0,0,user_007704
11,0,13.1,0,0.231,0.0,San Diego,0,Edge_iOS_4694,0,1,0,user_002884
34,9,15.0,3,0.256,0.775,Houston,0,Edge_macOS_9653,0,1,0,edge_000599
8,2,7.8,0,0.238,0.686,Charlotte,0,Chrome_macOS_2850,0,0,0,user_001284
7,2,12.2,0,0.145,0.802,Jacksonville,0,Chrome_Android_7947,0,0,0,user_002306
12,2,11.3,0,0.218,0.584,Houston,0,Safari_macOS_2817,1,1,0,user_006573
10,6,12.3,1,0.382,0.833,San Diego,0,Edge_iOS_8688,1,1,0,user_008180
5,2,13.7,0,0.535,0.764,Philadelphia,0,Safari_iOS_5674,0,1,0,user_006202
8,0,6.5,0,0.339,0.0,Chicago,0,Chrome_iOS_1892,0,1,0,user_003936
27,10,13.1,1,0.361,0.808,San Diego,1,Edge_iOS_6424,1,1,0,edge_000571
10,2,12.0,0,0.528,0.755,Fort Worth,0,Safari_iOS_9466,1,1,0,user_007911
11,2,19.7,0,0.206,0.545,Austin,0,Firefox_iOS_6857,0,0,0,user_000998
9,1,17.9,0,0.344,0.678,Charlotte,0,Chrome_Android_7993,0,1,0,user_005243
6,1,7.6,0,0.326,0.71,New York,0,Safari_Windows_2941,0,0,0,user_005773
21,11,13.2,4,0.618,0.077,Los Angeles,4,Edge_Android_8281,1,1,1,fraud_000640
7,0,14.1,0,0.308,0.0,Jacksonville,0,Chrome_Android_4671,0,1,0,user_003077
16,4,13.7,0,0.191,0.816,Austin,0,Edge_Windows_3412,0,0,0,user_004776
7,0,7.1,0,0.346,0.0,San Jose,0,Edge_macOS_7412,0,1,0,user_002682
5,1,12.8,0,0.585,0.633,San Diego,0,Edge_Windows_6122,0,1,0,user_007792
6,1,11.4,0,0.119,0.629,Houston,0,Chrome_iOS_8634,0,1,0,user_005180
11,0,11.9,0,0.292,0.0,Dallas,0,Edge_Android_6805,1,0,0,user_002995
16,3,13.4,0,0.509,0.778,Austin,0,Safari_iOS_9866,0,0,0,user_002140
8,1,10.0,0,0.376,0.187,San Antonio,0,Chrome_Android_5186,1,0,0,user_001860
8,3,16.5,0,0.309,0.543,San Antonio,0,Safari_iOS_8661,0,1,0,user_007490
9,1,11.3,0,0.232,0.642,New York,0,Firefox_macOS_4678,1,1,0,user_005195
8,0,14.9,0,0.272,0.0,Fort Worth,0,Firefox_Windows_9486,0,1,0,user_004250
11,3,2.9,0,0.198,0.486,San Jose,0,Chrome_Android_1684,0,1,0,user_003595
11,1,16.9,0,0.509,0.68,Chicago,0,Firefox_Android_3503,0,1,0,user_000136
9,2,7.7,0,0.402,0.757,Houston,0,Safari_Windows_1782,0,1,0,user_000406
8,0,17.3,0,0.459,0.0,San Antonio,0,Firefox_iOS_2038,0,1,0,user_007878
11,1,11.2,0,0.127,0.54,Los Angeles,0,Edge_macOS_5657,0,1,0,user_008282
6,1,7.7,0,0.17,0.219,San Jose,0,Safari_macOS_5028,0,1,0,user_002567
6,2,14.0,0,0.194,0.601,Charlotte,0,Firefox_Windows_5272,0,1,0,user_000541
6,0,15.9,0,0.361,0.0,Fort Worth,0,Safari_iOS_8578,0,1,0,user_008096
8,0,7.7,0,0.393,0.0,Charlotte,0,Safari_macOS_5991,1,1,0,user_001751
10,1,18.1,0,0.19,0.251,Los Angeles,0,Safari_iOS_6546,0,0,0,user_006166
6,0,15.1,0,0.223,0.0,Fort Worth,0,Edge_Windows_3262,0,0,0,user_000508
8,0,11.2,0,0.403,0.0,Columbus,0,Safari_Android_9501,0,0,0,user_007717
8,0,5.4,0,0.085,0.0,Columbus,0,Chrome_iOS_1795,1,1,0,user_008425
10,1,5.4,0,0.239,0.655,Dallas,0,Firefox_macOS_4513,0,0,0,user_005548
18,10,3.0,6,0.689,0.206,New York,4,Firefox_Android_1052,0,1,1,fraud_000660
7,1,17.9,0,0.141,0.598,San Jose,0,Safari_Android_7171,1,0,0,user_008290
5,0,5.6,0,0.609,0.0,Philadelphia,0,Safari_Android_3692,0,0,0,user_002006
9,2,12.0,0,0.033,0.764,Jacksonville,0,Edge_Android_4856,1,0,0,user_007931
